አፍሪቃ	アフリカ
ኩሩቭ	クルフ
4 February	2月4日
5 February	2月5日
6 February	2月6日
7 February	2月7日
8 February	2月8日
9 February	2月9日
10 February	2月10日
የጥንተ ንጥር ጥናት	化学
14 February	2月14日
13 February	2月13日
15 February	2月15日
11 February	2月11日
12 February	2月12日
19 February	2月19日
17 February	2月17日
16 February	2月16日
18 February	2月18日
20 February	2月20日
21 February	2月21日
22 February	2月22日
23 February	2月23日
24 February	2月24日
25 February	2月25日
26 February	2月26日
27 እ.ኤ.አ.	27年
27 February	2月27日
28 February	2月28日
11 December	12月11日
29 February	2月29日
12 December	12月12日
13 December	12月13日
14 December	12月14日
15 December	12月15日
2 March	3月2日
3 March	3月3日
5 March	3月5日
1 March	3月1日
7 March	3月7日
8 March	3月8日
4 March	3月4日
10 March	3月10日
11 March	3月11日
6 March	3月6日
13 March	3月13日
9 March	3月9日
12 March	3月12日
15 March	3月15日
14 March	3月14日
16 December	12月16日
17 December	12月17日
16 March	3月16日
17 March	3月17日
18 March	3月18日
19 March	3月19日
1989 እ.ኤ.አ.	1989年
1988 እ.ኤ.አ.	1988年
20 March	3月20日
1987 እ.ኤ.አ.	1987年
1986 እ.ኤ.አ.	1986年
1985 እ.ኤ.አ.	1985年
1984 እ.ኤ.አ.	1984年
21 March	3月21日
1983 እ.ኤ.አ.	1983年
22 March	3月22日
1982 እ.ኤ.አ.	1982年
1981 እ.ኤ.አ.	1981年
18 December	12月18日
1980 እ.ኤ.አ.	1980年
23 March	3月23日
ሞቃዲሾ	モガディシュ
19 December	12月19日
24 March	3月24日
25 March	3月25日
20 December	12月20日
26 March	3月26日
27 March	3月27日
28 March	3月28日
29 March	3月29日
30 March	3月30日
31 March	3月31日
ናሶ	ナッソー
ሳና	サナア
1970 እ.ኤ.አ.	1970年
1971 እ.ኤ.አ.	1971年
1972 እ.ኤ.አ.	1972年
1973 እ.ኤ.አ.	1973年
1974 እ.ኤ.አ.	1974年
1975 እ.ኤ.አ.	1975年
1976 እ.ኤ.አ.	1976年
1977 እ.ኤ.አ.	1977年
1978 እ.ኤ.አ.	1978年
1979 እ.ኤ.አ.	1979年
1969 እ.ኤ.አ.	1969年
15 April	4月15日
13 April	4月13日
12 April	4月12日
14 April	4月14日
11 April	4月11日
10 April	4月10日
8 April	4月8日
9 April	4月9日
7 April	4月7日
6 April	4月6日
5 April	4月5日
4 April	4月4日
3 April	4月3日
1 April	4月1日
2 April	4月2日
16 April	4月16日
17 April	4月17日
18 April	4月18日
19 April	4月19日
20 April	4月20日
21 April	4月21日
22 April	4月22日
23 April	4月23日
24 April	4月24日
25 April	4月25日
26 April	4月26日
27 April	4月27日
28 April	4月28日
29 April	4月29日
30 April	4月30日
1 May	5月1日
2 May	5月2日
3 May	5月3日
4 May	5月4日
5 May	5月5日
6 May	5月6日
7 May	5月7日
8 May	5月8日
9 May	5月9日
10 May	5月10日
11 May	5月11日
12 May	5月12日
13 May	5月13日
14 May	5月14日
15 May	5月15日
16 May	5月16日
17 May	5月17日
18 May	5月18日
19 May	5月19日
20 May	5月20日
21 May	5月21日
22 May	5月22日
23 May	5月23日
24 May	5月24日
25 May	5月25日
26 May	5月26日
27 May	5月27日
28 May	5月28日
29 May	5月29日
30 May	5月30日
31 May	5月31日
21 December	12月21日
ላዚዮ	SSラツィオ
14 June	6月14日
15 June	6月15日
13 June	6月13日
10 June	6月10日
7 June	6月7日
11 June	6月11日
9 June	6月9日
12 June	6月12日
6 June	6月6日
8 June	6月8日
5 June	6月5日
3 June	6月3日
2 June	6月2日
1 June	6月1日
4 June	6月4日
ናፖሊ	ナポリ
22 December	12月22日
1968 እ.ኤ.አ.	1968年
1967 እ.ኤ.አ.	1967年
1966 እ.ኤ.አ.	1966年
1965 እ.ኤ.አ.	1965年
1964 እ.ኤ.አ.	1964年
16 June	6月16日
30 June	6月30日
29 June	6月29日
28 June	6月28日
26 June	6月26日
25 June	6月25日
22 June	6月22日
27 June	6月27日
24 June	6月24日
20 June	6月20日
23 June	6月23日
19 June	6月19日
18 June	6月18日
21 June	6月21日
17 June	6月17日
ዩ.ኤስ. ቺታ ዲ ፓሌርሞ	USチッタ・ディ・パレルモ
23 December	12月23日
15 July	7月15日
13 July	7月13日
12 July	7月12日
10 July	7月10日
9 July	7月9日
14 July	7月14日
8 July	7月8日
7 July	7月7日
6 July	7月6日
5 July	7月5日
2 July	7月2日
4 July	7月4日
3 July	7月3日
1 July	7月1日
11 July	7月11日
24 December	12月24日
31 July	7月31日
30 July	7月30日
29 July	7月29日
28 July	7月28日
27 July	7月27日
25 July	7月25日
24 July	7月24日
23 July	7月23日
26 July	7月26日
22 July	7月22日
19 July	7月19日
21 July	7月21日
20 July	7月20日
17 July	7月17日
18 July	7月18日
16 July	7月16日
እግር ኳስ	サッカー
25 December	12月25日
1963 እ.ኤ.አ.	1963年
26 December	12月26日
1962 እ.ኤ.አ.	1962年
14 August	8月14日
15 August	8月15日
13 August	8月13日
12 August	8月12日
11 August	8月11日
10 August	8月10日
8 August	8月8日
7 August	8月7日
9 August	8月9日
5 August	8月5日
4 August	8月4日
2 August	8月2日
3 August	8月3日
6 August	8月6日
1 August	8月1日
27 December	12月27日
ማድሪድ	マドリード
16 August	8月16日
ኮካ ኮላ	コカ・コーラ
29 August	8月29日
28 August	8月28日
30 August	8月30日
25 August	8月25日
26 August	8月26日
23 August	8月23日
27 August	8月27日
21 August	8月21日
20 August	8月20日
24 August	8月24日
18 August	8月18日
17 August	8月17日
22 August	8月22日
19 August	8月19日
31 August	8月31日
ማይክል ጃክሰን	マイケル・ジャクソン
28 December	12月28日
ቦጎታ	ボゴタ
ብራዚሊያ	ブラジリア
15 September	9月15日
14 September	9月14日
13 September	9月13日
12 September	9月12日
8 September	9月8日
11 September	9月11日
7 September	9月7日
10 September	9月10日
5 September	9月5日
4 September	9月4日
9 September	9月9日
2 September	9月2日
6 September	9月6日
1 September	9月1日
3 September	9月3日
29 December	12月29日
ሊማ	リマ
30 September	9月30日
29 September	9月29日
28 September	9月28日
27 September	9月27日
26 September	9月26日
25 September	9月25日
ሳንቲያጎ	サンティアゴ (チリ)
23 September	9月23日
22 September	9月22日
24 September	9月24日
21 September	9月21日
20 September	9月20日
18 September	9月18日
17 September	9月17日
19 September	9月19日
16 September	9月16日
ኪቶ	キト
30 December	12月30日
31 December	12月31日
1 October	10月1日
15 October	10月15日
12 October	10月12日
10 October	10月10日
14 October	10月14日
9 October	10月9日
8 October	10月8日
13 October	10月13日
7 October	10月7日
11 October	10月11日
6 October	10月6日
4 October	10月4日
5 October	10月5日
3 October	10月3日
2 October	10月2日
አሱንሲዮን	アスンシオン
ፍየል	ヤギ
31 October	10月31日
30 October	10月30日
29 October	10月29日
28 October	10月28日
26 October	10月26日
25 October	10月25日
24 October	10月24日
27 October	10月27日
22 October	10月22日
23 October	10月23日
20 October	10月20日
21 October	10月21日
19 October	10月19日
17 October	10月17日
16 October	10月16日
18 October	10月18日
ሬገንስቡርግ	レーゲンスブルク
አርነት	自由
15 November	11月15日
14 November	11月14日
13 November	11月13日
12 November	11月12日
11 November	11月11日
10 November	11月10日
7 November	11月7日
8 November	11月8日
9 November	11月9日
6 November	11月6日
5 November	11月5日
4 November	11月4日
3 November	11月3日
2 November	11月2日
1 November	11月1日
ፓራማሪቦ	パラマリボ
30 November	11月30日
29 November	11月29日
28 November	11月28日
27 November	11月27日
26 November	11月26日
25 November	11月25日
23 November	11月23日
24 November	11月24日
21 November	11月21日
20 November	11月20日
22 November	11月22日
19 November	11月19日
18 November	11月18日
17 November	11月17日
16 November	11月16日
ካትማንዱ	カトマンズ
ቤልሞፓን	ベルモパン
ሳን ሆዜ	サンホセ (コスタリカ)
ሳን ሳልቫዶር	サンサルバドル
ካንበራ	キャンベラ
ሲድኒ	シドニー
አረንጓዴ	緑
ትሪር	トリーア
መልበርን	メルボルン
ቀይ	赤
ከባቢ አየር	地球の大気
ቴጉሲጋልፓ	テグシガルパ
ማናጓ	マナグア
ፓናማ ከተማ	パナマ市
ዛዳር	ザダル
አባይ ወንዝ (ናይል)	ナイル川
ማኬንዚ ወንዝ	マッケンジー川
ኮንጎ ወንዝ	コンゴ川
ራባት	ラバト
አልጀርስ	アルジェ
ቱኒስ	チュニス
ትሪፖሊ	トリポリ
ቴህራን	テヘラン
አዲስ አበባ	アディスアベバ
ጃካርታ	ジャカルタ
አንካራ	アンカラ
አስመራ	アスマラ
ንጃመና	ンジャメナ
ኒያሜ	ニアメ
ኑዋክሾት	ヌアクショット
ሪያድ	リヤド
1961 እ.ኤ.አ.	1961年
ባማኮ	バマコ
በልግራድ	ベオグラード
ዳካር	ダカール
ባንጁል	バンジュール
ቢሳው	ビサウ
ሞንሮቪያ	モンロビア
ፕራያ	プライア
1960 እ.ኤ.አ.	1960年
አክራ	アクラ
ደማስቆ	ダマスカス
ያሙሱክሮ	ヤムスクロ
ጊያን	フランス領ギアナ
ዋጋዱጉ	ワガドゥグー
ፍሪታውን	フリータウン
አማዞን ወንዝ	アマゾン川
አቡጃ	アブジャ
ሎሜ	ロメ
ፖርቶ ኖቮ	ポルトノボ
አማን	アンマン
ያዉንዴ	ヤウンデ
ማላቦ	マラボ
ቤይሩት	ベイルート
ሊብረቪል	リーブルヴィル
መስከት	マスカット
ባንጊ	バンギ
ኪንሻሳ	キンシャサ
ብራዛቪል	ブラザヴィル
ቩርምዝ	ヴォルムス
ቡጁምቡራ	ブジュンブラ
ሌፍኮዚያ	ニコシア
ኪጋሊ	キガリ
ዶሃ	ドーハ
ዶዶማ	ドドマ
ናይሮቢ	ナイロビ
ሊሎንጔ	リロングウェ
ሉሳካ	ルサカ
ማናማ	マナーマ
ማፑቶ	マプト
ካምፓላ	カンパラ
ሏንዳ	ルアンダ
ሞሮኒ	モロニ
ምባባኔ	ムババーネ
መሴሩ	マセル
አንታናናሪቮ	アンタナナリボ
ጋበሮኔ	ハボローネ
ሀራሬ	ハラレ
ፕሪቶሪያ	プレトリア
ፖርት ሉዊስ	ポートルイス
ሳን ቶሜ	サントメ
ዊንድሁክ	ウィントフック
ውክፔዲያ:የመልመጃ ሠሌዳ	Wikipedia:サンドボックス
ቪክቶሪያ፥ ሲሸልስ	ヴィクトリア (セーシェル)
ላፕቶፕ	ノートパソコン
አልጀብራ	代数学
ወንዝ	川
ኦዛስኩ	オザスコ (サンパウロ州)
ግላዝጎ	グラスゴー
ኮንስታንጽ ሃይቅ	ボーデン湖
ዶንግ ሆይ አይሮፕላን ማረፊያ	ドンホイ空港
ፓሣው	パッサウ
ራዲዮ ሞገድ	電波
ኩሪቺባ	クリチバ
ዝቺዩፋሉ	ズィチウーイファル
አና ፍራንክ	アンネ・フランク
አሪያሪ	マダガスカル・アリアリ
መለጠፊያ:Location map ቱርክ	Template:Location map Turkey
ኮንግ-ፉጸ	孔子
መሪሊን መንሮ	マリリン・モンロー
ኮርብን ብሉ	コービン・ブルー
መደብ:ሒሳብ	Category:数学
መደብ:ሰው ሠራሽ ቋንቋዎች	Category:人工言語
ፋሮ ደሴቶች	フェロー諸島
መለጠፊያ:Country data ኢራን	Template:Country data Iran
1488 እ.ኤ.አ.	1488年
ዩሮ	ユーロ
የአሜሪካ ዶላር	アメリカ合衆国ドル
ሜድትራኒያን ባሕር	地中海
ኸርማን መልቪል	ハーマン・メルヴィル
ክርስትና	キリスト教
1004 እ.ኤ.አ.	1004年
ጋሮን ወንዝ	ガロンヌ川
ስያትል	シアトル
ጋንጅስ	ガンジス川
ሩዝ	米
አሕጉር	大陸
ወፍ	鳥類
ዋና ከተማ	首都
ሞንዞን	モンソン
ጉጃራቲ	グジャラート語
ፖርቱጊዝኛ	ポルトガル語
ሙስታፋ ኬማል አታቱርክ	ムスタファ・ケマル・アタテュルク
1948 እ.ኤ.አ.	1948年
1949 እ.ኤ.አ.	1949年
አልማዛን	アルマサン
ኋንግ ሽያንፋን	黄現ハン
ቀቿ	ケチュア語
1956 እ.ኤ.አ.	1956年
1200 እ.ኤ.አ.	1200年
1201 እ.ኤ.አ.	1201年
1202 እ.ኤ.አ.	1202年
1203 እ.ኤ.አ.	1203年
1204 እ.ኤ.አ.	1204年
1205 እ.ኤ.አ.	1205年
1206 እ.ኤ.አ.	1206年
1941 እ.ኤ.አ.	1941年
1207 እ.ኤ.አ.	1207年
1208 እ.ኤ.አ.	1208年
1945 እ.ኤ.አ.	1945年
1209 እ.ኤ.አ.	1209年
1210 እ.ኤ.አ.	1210年
1211 እ.ኤ.አ.	1211年
1958 እ.ኤ.አ.	1958年
1212 እ.ኤ.አ.	1212年
1926 እ.ኤ.አ.	1926年
1213 እ.ኤ.አ.	1213年
1947 እ.ኤ.አ.	1947年
1944 እ.ኤ.አ.	1944年
1952 እ.ኤ.አ.	1952年
ቢል ጌትስ	ビル・ゲイツ
ጃፓንኛ	日本語
ሞኒተር	ディスプレイ (コンピュータ)
መዝገበ ዕውቀት	百科事典
ዋናው ገጽ	メインページ
1959 እ.ኤ.አ.	1959年
1957 እ.ኤ.አ.	1957年
1214 እ.ኤ.አ.	1214年
1215 እ.ኤ.አ.	1215年
1216 እ.ኤ.አ.	1216年
ጎልፍ	ゴルフ
1217 እ.ኤ.አ.	1217年
1218 እ.ኤ.አ.	1218年
1219 እ.ኤ.አ.	1219年
1220 እ.ኤ.አ.	1220年
1221 እ.ኤ.አ.	1221年
1222 እ.ኤ.አ.	1222年
1223 እ.ኤ.አ.	1223年
1224 እ.ኤ.አ.	1224年
1225 እ.ኤ.አ.	1225年
1226 እ.ኤ.አ.	1226年
1227 እ.ኤ.አ.	1227年
1228 እ.ኤ.አ.	1228年
1229 እ.ኤ.አ.	1229年
1230 እ.ኤ.አ.	1230年
ያንግ-ጸ ወንዝ	長江
1231 እ.ኤ.አ.	1231年
1232 እ.ኤ.አ.	1232年
1233 እ.ኤ.አ.	1233年
ኡድሙርቲያ	ウドムルト共和国
1234 እ.ኤ.አ.	1234年
1235 እ.ኤ.አ.	1235年
1236 እ.ኤ.አ.	1236年
1237 እ.ኤ.አ.	1237年
1238 እ.ኤ.አ.	1238年
1239 እ.ኤ.አ.	1239年
1240 እ.ኤ.አ.	1240年
1241 እ.ኤ.አ.	1241年
1242 እ.ኤ.አ.	1242年
1243 እ.ኤ.አ.	1243年
1244 እ.ኤ.አ.	1244年
1245 እ.ኤ.አ.	1245年
1246 እ.ኤ.አ.	1246年
ኬፕ ታውን	ケープタウン
ደርባን	ダーバン
1247 እ.ኤ.አ.	1247年
1248 እ.ኤ.አ.	1248年
ካስፒያን ባሕር	カスピ海
1249 እ.ኤ.አ.	1249年
1250 እ.ኤ.አ.	1250年
1251 እ.ኤ.አ.	1251年
1252 እ.ኤ.አ.	1252年
1253 እ.ኤ.አ.	1253年
1254 እ.ኤ.አ.	1254年
1255 እ.ኤ.አ.	1255年
1256 እ.ኤ.አ.	1256年
1257 እ.ኤ.አ.	1257年
1258 እ.ኤ.አ.	1258年
1259 እ.ኤ.አ.	1259年
1260 እ.ኤ.አ.	1260年
1261 እ.ኤ.አ.	1261年
1262 እ.ኤ.አ.	1262年
1263 እ.ኤ.አ.	1263年
1264 እ.ኤ.አ.	1264年
1265 እ.ኤ.አ.	1265年
1266 እ.ኤ.አ.	1266年
1267 እ.ኤ.አ.	1267年
1268 እ.ኤ.አ.	1268年
1269 እ.ኤ.አ.	1269年
1270 እ.ኤ.አ.	1270年
1271 እ.ኤ.አ.	1271年
1272 እ.ኤ.አ.	1272年
1273 እ.ኤ.አ.	1273年
1274 እ.ኤ.አ.	1274年
1275 እ.ኤ.አ.	1275年
1276 እ.ኤ.አ.	1276年
1277 እ.ኤ.አ.	1277年
1278 እ.ኤ.አ.	1278年
1279 እ.ኤ.አ.	1279年
1280 እ.ኤ.አ.	1280年
1281 እ.ኤ.አ.	1281年
1282 እ.ኤ.አ.	1282年
1283 እ.ኤ.አ.	1283年
1284 እ.ኤ.አ.	1284年
1285 እ.ኤ.አ.	1285年
1286 እ.ኤ.አ.	1286年
1287 እ.ኤ.አ.	1287年
1288 እ.ኤ.አ.	1288年
1289 እ.ኤ.አ.	1289年
1290 እ.ኤ.አ.	1290年
1291 እ.ኤ.አ.	1291年
1292 እ.ኤ.አ.	1292年
1293 እ.ኤ.አ.	1293年
1294 እ.ኤ.አ.	1294年
1295 እ.ኤ.አ.	1295年
1296 እ.ኤ.አ.	1296年
1297 እ.ኤ.አ.	1297年
1298 እ.ኤ.አ.	1298年
1299 እ.ኤ.አ.	1299年
ሳልቫዶር ዳሊ	サルバドール・ダリ
አልብረሕት ዲውረር	アルブレヒト・デューラー
ቪንሰንት ቫን ጎ	フィンセント・ファン・ゴッホ
ማይክል አንጄሎ ቡናሮቲ	ミケランジェロ・ブオナローティ
ፓብሎ ፒካሶ	パブロ・ピカソ
ራፋኤሎ ሳንዚዮ	ラファエロ・サンティ
ረምብራንት	レンブラント・ファン・レイン
ፍራንክ ሎይድ ራይት	フランク・ロイド・ライト
1300 እ.ኤ.አ.	1300年
1301 እ.ኤ.አ.	1301年
1302 እ.ኤ.አ.	1302年
1303 እ.ኤ.አ.	1303年
1304 እ.ኤ.አ.	1304年
1305 እ.ኤ.አ.	1305年
ነነዌ	ニネヴェ (メソポタミア)
ሚጌል ዴ ሴርቫንቴስ	ミゲル・デ・セルバンテス
ባቢሎን	バビロン
አንቶን ቼኾቭ	アントン・チェーホフ
ቻርልስ ዲከንስ	チャールズ・ディケンズ
ኢያሪኮ	エリコ
ኡር	ウル
ካታሎኒያ	カタルーニャ州
1306 እ.ኤ.አ.	1306年
1307 እ.ኤ.አ.	1307年
1308 እ.ኤ.አ.	1308年
1309 እ.ኤ.አ.	1309年
1310 እ.ኤ.አ.	1310年
1311 እ.ኤ.አ.	1311年
1312 እ.ኤ.አ.	1312年
1313 እ.ኤ.አ.	1313年
አዶልፍ ትዬር	アドルフ・ティエール
1314 እ.ኤ.አ.	1314年
1315 እ.ኤ.አ.	1315年
ኤብላ	エブラ
1316 እ.ኤ.አ.	1316年
1317 እ.ኤ.አ.	1317年
1318 እ.ኤ.አ.	1318年
1319 እ.ኤ.አ.	1319年
1320 እ.ኤ.አ.	1320年
1321 እ.ኤ.አ.	1321年
1322 እ.ኤ.አ.	1322年
1323 እ.ኤ.አ.	1323年
1324 እ.ኤ.አ.	1324年
1325 እ.ኤ.አ.	1325年
1326 እ.ኤ.አ.	1326年
ጴጥራ	ペトラ
1327 እ.ኤ.አ.	1327年
1328 እ.ኤ.አ.	1328年
መካ	メッカ
ቼ ጌቫራ	チェ・ゲバラ
ኖቫክ ጆኮቪች	ノバク・ジョコビッチ
ካናሪያስ ደሴቶች	カナリア諸島
ማው ፀ-ቶንግ	毛沢東
አክሱም	アクスム
ቶሌዶ	トレド
ካቡል	カーブル
ጋብሬል ጋርሲያ ማርኬዝ	ガブリエル・ガルシア＝マルケス
ዮሐን ቮልፍጋንግ ቮን ግውተ	ヨハン・ヴォルフガング・フォン・ゲーテ
ፍልስፍና	哲学
1329 እ.ኤ.አ.	1329年
ጄምስ ብራውን	ジェームス・ブラウン
መደብ:ለማጥፋት የቀረቡ ገጾች	Category:即時削除対象のページ
ፒያኖ	ピアノ
1330 እ.ኤ.አ.	1330年
1331 እ.ኤ.አ.	1331年
1332 እ.ኤ.አ.	1332年
ጥሩነሽ ዲባባ	ティルネシュ・ディババ
1333 እ.ኤ.አ.	1333年
1334 እ.ኤ.አ.	1334年
1335 እ.ኤ.አ.	1335年
1336 እ.ኤ.አ.	1336年
1337 እ.ኤ.አ.	1337年
1338 እ.ኤ.አ.	1338年
1339 እ.ኤ.አ.	1339年
1340 እ.ኤ.አ.	1340年
1341 እ.ኤ.አ.	1341年
1342 እ.ኤ.አ.	1342年
1343 እ.ኤ.አ.	1343年
1344 እ.ኤ.አ.	1344年
1345 እ.ኤ.አ.	1345年
1346 እ.ኤ.አ.	1346年
1347 እ.ኤ.አ.	1347年
1348 እ.ኤ.አ.	1348年
1349 እ.ኤ.አ.	1349年
1350 እ.ኤ.አ.	1350年
ሻይ	茶
ማርኮ ፖሎ	マルコ・ポーロ
1351 እ.ኤ.አ.	1351年
ኤቢ ከማርጎ	ヘーペ・カマルゴ
1400 እ.ኤ.አ.	1400年
1401 እ.ኤ.አ.	1401年
1352 እ.ኤ.አ.	1352年
1402 እ.ኤ.አ.	1402年
1353 እ.ኤ.አ.	1353年
1403 እ.ኤ.አ.	1403年
1354 እ.ኤ.አ.	1354年
1404 እ.ኤ.አ.	1404年
1355 እ.ኤ.አ.	1355年
