Āfrika	アフリカ
Sīborgijs	シーボーギウム
Trentīno-Alto Adidže	トレンティーノ＝アルト・アディジェ州
Indijas okeāns	インド洋
Veneto	ヴェネト州
Kosova	コソボ
Karību jūra	カリブ海
Borijs	ボーリウム
Friuli-Venēcija Džūlija	フリウリ＝ヴェネツィア・ジュリア州
Hasijs	ハッシウム
Pans Kimuns	潘基文
Kofi Annans	コフィー・アナン
Ligūrija	リグーリア州
Butross Butross-Gali	ブトロス・ブトロス＝ガーリ
Meitnērijs	マイトネリウム
Kurts Valdheims	クルト・ヴァルトハイム
Kolorādo	コロラド州
Emīlija-Romanja	エミリア＝ロマーニャ州
U Tans	ウ・タント
Kolorādo (upe)	コロラド川
Darmštatijs	ダームスタチウム
Dāgs Hammaršelds	ダグ・ハマーショルド
Frideriks Šopēns	フレデリック・ショパン
Rentgenijs	レントゲニウム
Toskāna	トスカーナ州
Leonards Koens	レナード・コーエン
Kopernikijs	コペルニシウム
Marke	マルケ州
Umbrija	ウンブリア州
Lacio	ラツィオ州
Abruco	アブルッツォ州
Apenīni	アペニン山脈
Alpi	アルプス山脈
Karpati	カルパティア山脈
Grenoble	グルノーブル
Blēzs Paskāls	ブレーズ・パスカル
Dambrete	チェッカー
Dortmunde	ドルトムント
Gente	ヘント
Čikāga	シカゴ
The Beatles	ビートルズ
Ununtrijs	ウンウントリウム
Flerovijs	フレロビウム
Ununpentijs	ウンウンペンチウム
Livermorijs	リバモリウム
Ununseptijs	ウンウンセプチウム
Ununoktijs	ウンウンオクチウム
Komo (pilsēta)	コモ
Māstrihta	マーストリヒト
Arnema	アーネム
Ziema	冬
Pavasaris	春
Vasara	夏
Rudens	秋
Ekvinokcija	分点
Sadams Huseins	サッダーム・フセイン
Osama bin Ladens	ウサーマ・ビン・ラーディン
Spāņu valoda	スペイン語
Frīdrihs Hajeks	フリードリヒ・ハイエク
Montevideo	モンテビデオ
Johans Sebastians Bahs	ヨハン・ゼバスティアン・バッハ
Antonio Vivaldi	アントニオ・ヴィヴァルディ
Toljati	トリヤッチ
Pitsburga	ピッツバーグ
Opera	オペラ
Filadelfija	フィラデルフィア
Kolkata	コルカタ
Opel Astra	アストラ (自動車)
Čennai	チェンナイ
Deli	デリー
Daka	ダッカ
Bengalūru	バンガロール
Rietumbengāle	西ベンガル州
Zirnekļi	クモ
Zirnekļveidīgie	クモ綱
Helicerāti	鋏角亜門
Posmkāji	節足動物
Haidarābādu	ハイデラバード
Islāmābāda	イスラマバード
Tripura	トリプラ州
Auglis	果実
Kategorija:Portu	Category:ポルト
Pērtiķi	サル
Nauda	貨幣
Virdžīnija	バージニア州
Rietumvirdžīnija	ウェストバージニア州
Materhorns	マッターホルン
Dungeons & Dragons	ダンジョンズ&ドラゴンズ
Dārzeņpipars	トウガラシ
Hūrons	ヒューロン湖
Ņujorka (štats)	ニューヨーク州
Cērijs	セリウム
Prazeodīms	プラセオジム
Rodailenda	ロードアイランド州
Neodīms	ネオジム
Kukaiņi	昆虫
Mērilenda	メリーランド州
Delavēra	デラウェア州
Vladimirs Ļeņins	ウラジーミル・レーニン
Eiropijs	ユウロピウム
Ohaio (štats)	オハイオ州
Vergilijs	ウェルギリウス
Nikolo Makjavelli	ニッコロ・マキャヴェッリ
Pensilvānija	ペンシルベニア州
Frančesko Petrarka	ペトラルカ
Džovanni Bokačo	ジョヴァンニ・ボッカッチョ
Luidži Pirandello	ルイジ・ピランデルロ
Iterzene	ユーテルゼン
Oktaviāns	アウグストゥス
Microsoft Windows	Microsoft Windows
Tibērijs	ティベリウス
Ņūdžersija	ニュージャージー州
Kaligula	カリグラ
Gibraltārs	ジブラルタル
Klaudijs	クラウディウス
Somu valoda	フィンランド語
Nērons	ネロ
Indiāna	インディアナ州
Otons	オト
Vitēlijs	アウルス・ウィテッリウス
Nokia	ノキア
Vespasiāns	ウェスパシアヌス
Automašīna	自動車
Tits	ティトゥス
Turīnas "Juventus"	ユヴェントスFC
Domiciāns	ドミティアヌス
Nerva	ネルウァ
Trajāns	トラヤヌス
Rodžers Federers	ロジャー・フェデラー
Adriāns	ハドリアヌス
Džordžija	ジョージア州
Antonijs Pijs	アントニヌス・ピウス
Marks Aurēlijs	マルクス・アウレリウス・アントニヌス
KDE	KDE
Komods	コンモドゥス
Zagreba	ザグレブ
Rādžastāna	ラージャスターン州
Kampānija	カンパニア州
Teksasa	テキサス州
Septimijs Severs	セプティミウス・セウェルス
Molize	モリーゼ州
Tamilnāda	タミル・ナードゥ州
Karakalla	カラカラ
Apūlija	プッリャ州
Dženova	ジェノヴァ
Bruno Mars	ブルーノ・マーズ
Pinatubo	ピナトゥボ山
Bazilikata	バジリカータ州
Ziemeļkarolīna	ノースカロライナ州
Lauka hokejs	フィールドホッケー
Dienvidkarolīna	サウスカロライナ州
Dženovas "Sampdoria"	UCサンプドリア
Kalabrija	カラブリア州
Sicīlija	シチリア
Manila	マニラ
Sardīnija	サルデーニャ
Ferdinands Markoss	フェルディナンド・マルコス
Sebu	セブ
Luāra (upe)	ロワール川
Moriss Kornēlijs Ešers	マウリッツ・エッシャー
Sēna	セーヌ川
Krona slimība	クローン病
Davao	ダバオ
Kesonsitija	ケソン
Lemāna	ル・マン
Bordo	ボルドー
Korasona Akino	コラソン・アキノ
Sistēmiskā sarkanā vilkēde	全身性エリテマトーデス
Buenosairesa	ブエノスアイレス
Urķis	ハッカー
Mehiko	メキシコシティ
Tokija	東京都
Lapasa	ラパス
Barselona	バルセロナ
Ananass	パイナップル
Misisipi (štats)	ミシシッピ州
Fernāns Magelāns	フェルディナンド・マゼラン
Misisipi (upe)	ミシシッピ川
Utarpradēša	ウッタル・プラデーシュ州
Utarakhanda	ウッタラーカンド州
Mizorāma	ミゾラム州
Sikima	シッキム州
Patagonija	パタゴニア
Tenesī	テネシー州
Rihards Vāgners	リヒャルト・ワーグナー
Roberts Luiss Stīvensons	ロバート・ルイス・スティーヴンソン
Nāgpura	ナーグプル
Dženisa Džoplina	ジャニス・ジョプリン
Abidžana	アビジャン
Abū Dabī	アブダビ
Astana	アスタナ
Ņūmeksika	ニューメキシコ州
Ramzess Lielais	ラムセス2世
Atēnas	アテネ
Minesota	ミネソタ州
Bagdāde	バグダード
Karakasa	カラカス
Universālais koordinētais laiks	協定世界時
Viskonsina	ウィスコンシン州
Pune	プネー
Cicerons	マルクス・トゥッリウス・キケロ
AC Milan	ACミラン
Sindija Lopere	シンディ・ローパー
Aiova	アイオワ州
Nebraska	ネブラスカ州
Gvatemala (pilsēta)	グアテマラシティ
Kanzasa	カンザス州
Havana	ハバナ
Hindi	ヒンディー語
Marathu valoda	マラーティー語
Internet Explorer	Internet Explorer
Cigarete	紙巻きたばこ
Ganēša	ガネーシャ
Misūri (štats)	ミズーリ州
Georgs Simons Oms	ゲオルク・オーム
Luiziāna	ルイジアナ州
Nāgālenda	ナガランド州
Kentuki	ケンタッキー州
Tims Linsekums	ティム・リンスカム
Alfa Romeo 159	アルファロメオ・159
Ārkanzasa	アーカンソー州
Nīls Ārmstrongs	ニール・アームストロング
Urdu	ウルドゥー語
Čārlzs Lindbergs	チャールズ・リンドバーグ
Sīgfrids Ēdstrems	ジークフリード・エドストレーム
Edīte Piafa	エディット・ピアフ
Osijeka	オシエク
Elba	エルベ川
Rijeka	リエカ
Emsa	エムス川
Oklahoma	オクラホマ州
Vēzere	ヴェーザー川
Johans Bleiks	ヨハン・ブレーク
Džastins Getlins	ジャスティン・ガトリン
Donava	ドナウ川
Kirani Džeimss	キラニ・ジェームス
Deivids Rudiša	デイヴィッド・レクタ・ルディシャ
Splita	スプリト
Rūra (upe)	ルール川
Žaks Brels	ジャック・ブレル
Mozele	モーゼル川
Maina	マイン川
Mohameds Farahs	モハメド・ファラー
Nekāra	ネッカー川
Ezekiels Kemboi	エゼキエル・ケンボイ
Zāle (upe)	ザーレ川
Hāfele	ハーフェル川
Šprē	シュプレー川
Džeisons Ričardsons	ジェイソン・リチャードソン
Felikss Sančess	フェリックス・サンチェス
Ziemeļjūra	北海
Skageraks	スカゲラク海峡
Maskavas apgabals	モスクワ州
Nesta Kārters	ネスタ・カーター
Ķīle	キール (ドイツ)
Šverīne	シュヴェリーン
Potsdama	ポツダム
Hannovere	ハノーファー
Diseldorfa	デュッセルドルフ
Mainca	マインツ
Vīsbādene	ヴィースバーデン
Dubrovnika	ドゥブロヴニク
Zārbrikene	ザールブリュッケン
Minhene	ミュンヘン
Samaras apgabals	サマラ州
Erfurte	エアフルト
Drēzdene	ドレスデン
Magdeburga	マクデブルク
Volejbols	バレーボール
Insbruka	インスブルック
Brēgenca	ブレゲンツ
Vīne	ウィーン
Reno Lavilenī	ルノー・ラビレニ
Madonna (mūziķe)	マドンナ (歌手)
Kopenhāgena	コペンハーゲン
Kaļiņingradas apgabals	カリーニングラード州
Stokholma	ストックホルム
Tomašs Majevskis	トマシュ・マエフスキ
Helsinki	ヘルシンキ
Murmanskas apgabals	ムルマンスク州
Rīze Hofa	リース・ホッファ
Dublina	ダブリン
Elagabals	ヘリオガバルス
Murmanska	ムルマンスク
Reikjavīka	レイキャヴィーク
Roberts Hartings	ロバート・ハルティング
Kakaši Hatake	はたけカカシ
Ella Ficdžeralda	エラ・フィッツジェラルド
Tallina	タリン
Rīga	リガ
Zanzibāra	ザンジバル
Gerds Kanters	ゲルド・カンテル
Lūiss Ārmstrongs	ルイ・アームストロング
Bratislava	ブラチスラヴァ
Budapešta	ブダペスト
Primožs Kozmuss	プリモジュ・コズムス
Kodži Murofuši	室伏広治
Šarls Aznavūrs	シャルル・アズナヴール
Eštons Ītons	アシュトン・イートン
Gdaņska	グダニスク
Trejs Hārdijs	トレイ・ハーディ
Frankfurte pie Mainas	フランクフルト・アム・マイン
Vroclava	ヴロツワフ
Kočina	コーチ (インド)
Lantāns	ランタン
Prometijs	プロメチウム
Astronomiskā vienība	天文単位
Samārijs	サマリウム
Bagio	バギオ
Ačeha	アチェ州
Kaļiņingrada	カリーニングラード
Decijs	デキウス
Gadolīnijs	ガドリニウム
Death Note	DEATH NOTE
Zinedins Zidāns	ジネディーヌ・ジダン
Terbijs	テルビウム
Katoļticība	カトリシズム
Luksemburga (pilsēta)	ルクセンブルク (都市)
Disprozijs	ジスプロシウム
Vaduca	ファドゥーツ
Bībele	聖書
Holmijs	ホルミウム
Sanmarīno (pilsēta)	サンマリノ市
Erbijs	エルビウム
Pnompeņa	プノンペン
Arhangeļska	アルハンゲリスク
Tūlijs	ツリウム
Hošimina	ホーチミン市
Iterbijs	イッテルビウム
Lutēcijs	ルテチウム
Hanoja	ハノイ
Patiesā Jēzus baznīca	真イエス教会
Angļu valoda	英語
Bangkoka	バンコク
Andora la Velja	アンドラ・ラ・ベリャ
Kualalumpūra	クアラルンプール
Taibei	台北市
Amerīcijs	アメリシウム
Odesa	オデッサ
Arhangeļskas apgabals	アルハンゲリスク州
Kirijs	キュリウム
Donhoja	ドンホイ
Konsepsjona	コンセプシオン (チリ)
Berklijs	バークリウム
Bergamo "Atalanta"	アタランタBC
Kalifornijs	カリホルニウム
Diplomātija	外交
Boloņa	ボローニャ
Einšteinijs	アインスタイニウム
Bologna F.C. 1909	ボローニャFC
Petrozavodska	ペトロザヴォーツク
Fermijs	フェルミウム
Kaljāri	カリャリ
Mendelevijs	メンデレビウム
Kijeva	キエフ
Cagliari Calcio	カリアリ・カルチョ
Nobēlijs	ノーベリウム
Katānija	カターニア
Ontārio	オンタリオ州
Lourensijs	ローレンシウム
Igo Loriss	ウーゴ・ロリス
Olivjē Žirū	オリヴィエ・ジルー
Karīms Benzemā	カリム・ベンゼマ
Florāns Maluda	フローラン・マルダ
Karēlijas Republika	カレリア共和国
Patriss Evra	パトリス・エヴラ
Franks Riberī	フランク・リベリー
Samīrs Nasrī	サミル・ナスリ
Gaels Klišī	ガエル・クリシー
Otava	オタワ
Anja Pēšone	アニヤ・パーション
Ēriks Abidāls	エリック・アビダル
Džibrils Sisē	ジブリル・シセ
Viljams Galā	ウィリアム・ギャラス
Bakarijs Saņa	バカリ・サニャ
Nikolā Anelka	ニコラ・アネルカ
Abu Diabī	アブー・ディアビ
Benjamins Raihs	ベンヤミン・ライヒ
Jupitera pavadoņi	木星の衛星と環
Džūba	ジュバ
Manitoba	マニトバ州
Alberto Tomba	アルベルト・トンバ
Alberta	アルバータ州
Jaunskotija	ノバスコシア州
Erevāna	エレバン
Hermanis Maiers	ヘルマン・マイヤー
Vologda	ヴォログダ
Koņskovola	コィンスコヴォラ
Dāresalāma	ダルエスサラーム
Hartūma	ハルツーム
Ņūbransvika	ニューブランズウィック州
Formula 1	フォーミュラ1
Saturna pavadoņi	土星の衛星と環
Britu Kolumbija	ブリティッシュコロンビア州
Prinča Edvarda Sala (Kanāda)	プリンスエドワードアイランド州
2000. gads	2000年
2003. gads	2003年
2002. gads	2002年
2001. gads	2001年
Saskačevana	サスカチュワン州
2012. gads	2012年
2011. gads	2011年
2010. gads	2010年
2009. gads	2009年
Oglekļa dioksīds	二酸化炭素
2013. gads	2013年
2014. gads	2014年
2015. gads	2015年
Ņūfaundlenda un Labradora	ニューファンドランド・ラブラドール州
2008. gads	2008年
JavaScript	JavaScript
Ziemeļrietumu Teritorijas	ノースウエスト準州
Jukona (teritorija)	ユーコン準州
2004. gads	2004年
Vologdas apgabals	ヴォログダ州
2005. gads	2005年
2006. gads	2006年
Nunavuta	ヌナブト準州
2007. gads	2007年
Oglekļa monoksīds	一酸化炭素
Verona	ヴェローナ
Ikaluita	イカルイト
1900. gads	1900年
1901. gads	1901年
Fransuā Miterāns	フランソワ・ミッテラン
Tits Līvijs	ティトゥス・リウィウス
Džuzepe Farina	ジュゼッペ・ファリーナ
Šarls de Golls	シャルル・ド・ゴール
1902. gads	1902年
Florence	フィレンツェ
1903. gads	1903年
1904. gads	1904年
1905. gads	1905年
1907. gads	1907年
1906. gads	1906年
ACF Fiorentina	ACFフィオレンティーナ
HTML5	HTML5
Seneka Jaunākais	ルキウス・アンナエウス・セネカ
1908. gads	1908年
1909. gads	1909年
1992. gads	1992年
Jelounaifa	イエローナイフ
1991. gads	1991年
JSON	JavaScript Object Notation
1990. gads	1990年
1993. gads	1993年
Esene	エッセン
1994. gads	1994年
1995. gads	1995年
Huans Manuels Fanhio	ファン・マヌエル・ファンジオ
1996. gads	1996年
Deivids Linčs	デヴィッド・リンチ
Marsels Hiršers	マルセル・ヒルシャー
Komi	コミ共和国
Genoa C.F.C.	ジェノアCFC
1910. gads	1910年
1911. gads	1911年
1912. gads	1912年
Leipciga	ライプツィヒ
1913. gads	1913年
Sentdžonsa (Kanāda)	セントジョンズ (ニューファンドランド・ラブラドール州)
1914. gads	1914年
1915. gads	1915年
Alberto Askari	アルベルト・アスカリ
1916. gads	1916年
1997. gads	1997年
1998. gads	1998年
Nirnberga	ニュルンベルク
1999. gads	1999年
1917. gads	1917年
1918. gads	1918年
Pārtika	食品
Edmontona	エドモントン
Hjētils Andrē Omots	チェーティル・アンドレ・オーモット
Dīsburga	デュースブルク
Čūskas	ヘビ
Bohuma	ボーフム
Maiks Hotorns	マイク・ホーソーン
Žaks Širaks	ジャック・シラク
Vupertāle	ヴッパータール
Gaismas ātrums	光速
Bīlefelde	ビーレフェルト
XML	Extensible Markup Language
Manheima	マンハイム
Orālais sekss	オーラルセックス
Ridžaina	レジャイナ
Valerī Žiskārs d'Estēns	ヴァレリー・ジスカール・デスタン
Džeks Brebems	ジャック・ブラバム
Neitrīno	ニュートリノ
Bode Millers	ボディー・ミラー
Viktorija (Kanāda)	ビクトリア (ブリティッシュコロンビア州)
LOL	（笑）
Vinipega	ウィニペグ
Neptūna pavadoņi	海王星の衛星と環
Helifeksa	ハリファックス
Siktivkara	スィクティフカル
Čerepoveca	チェレポヴェツ
Kvebeka (pilsēta)	ケベック・シティー
UTC-12	UTC-12
1. janvāris	1月1日
2. janvāris	1月2日
Urāna pavadoņi	天王星の衛星と環
UTC-11	UTC-11
1920. gads	1920年
3. janvāris	1月3日
1919. gads	1919年
Tacits	タキトゥス
1921. gads	1921年
Ņencu autonomais apvidus	ネネツ自治管区
1922. gads	1922年
Lunda	ルンド
4. janvāris	1月4日
1923. gads	1923年
Biobio reģions	ビオビオ州
UTC-9:30	UTC-9:30
Lenss Ārmstrongs	ランス・アームストロング
1924. gads	1924年
Narjanmara	ナリヤン・マル
Asteroīdu josla	小惑星帯
UTC-9	UTC-9
Krievijas PFSR	ロシア・ソビエト連邦社会主義共和国
Žoržs Pompidū	ジョルジュ・ポンピドゥー
Ļeņingradas apgabals	レニングラード州
JPEG	JPEG
Pundurplanēta	準惑星
Kick-Ass: Jaunie supervaroņi	キック・アス (映画)
5. janvāris	1月5日
Arika	アリカ (チリ)
UTC-8	UTC-8
Malme	マルメ
UTC-7	UTC-7
Pleskava	プスコフ
Pleskavas apgabals	プスコフ州
Sizraņa	シズラニ
6. janvāris	1月6日
Krusttēva Toma būda	アンクル・トムの小屋
Elektrons	電子
7. janvāris	1月7日
8. janvāris	1月8日
Veļikijnovgoroda	ノヴゴロド
9. janvāris	1月9日
Novgorodas apgabals	ノヴゴロド州
10. janvāris	1月10日
Ņižņijnovgorodas apgabals	ニジニ・ノヴゴロド州
