आफ्रिकाखण्डः	アフリカ
बि एम् डब्ल्यू (i8)	BMW・i8
बाबरः	バーブル
सरस्‍वती नदी	ガッガル・ハークラー川
बहुजनसमाज-पक्षः	大衆社会党
अतिथिसत्कारः	サービス精神
विकिरणीयप्रदूषणम्	放射能汚染
द्वारकाद्वीपः	ドワールカー
पट्टदकल्लु	パッタダカル
ब्राह्मणम्	ブラーフマナ
भारतीय भूगोलः	インドの地理
प्राणायामः	プラーナーヤーマ
कन्नडलिपिः	カンナダ文字
क्षणम्	刹那
फैजाबाद्	ファイザーバード
माध्यमिकाः	中観派
कुन्ती	クンティー
द्वितीयः चन्द्रगुप्तः	チャンドラグプタ2世
महाजनपदाः	十六大国
योगाचाराः	瑜伽行唯識学派
मीमांसा	ミーマーンサー学派
महाशिवरात्रिः	マハー・シヴァラートリー
चन्द्रगुप्तः	チャンドラグプタ1世
खण्डशर्करा	氷砂糖
वियुग्मदण्डम्	段違い平行棒
यथार्थरूपा भगवद्गीता	バガヴァッド・ギーター あるがままの詩
भूपेन हाजरिका	ブーペン・ハザリカ
राष्ट्रकूटवंशः	ラーシュトラクータ朝
पाण्डुः	パーンドゥ
बृहत्संहिता	ヴァラーハミヒラ
बीजुजनतादलम्	ビジュ・ジャナタ・ダル
चन्देरी	チャンデーリー
बून्दी	ブーンディー
राजगिर	王舎城
दीमापुर्	ディマプル
शिल्पकला	手芸
वसुदेवः	ヴァスデーヴァ
द्रोणाचार्यः	ドローナ
जनतादलम्(संयुक्तम्)	ジャナタ・ダル (統一派)
शूद्रः	シュードラ
सर्वभारतीयतृणमूलकांग्रेसपक्षः	全インド草の根会議派
विकिपीडिया:साहाय्यम्	Help:目次
गणेशचतुर्थी	ガネーシュ・フェスティバル
रागीधान्यम्	シコクビエ
सिरोही	シローヒー
सवाई माधोपुरम्	サワーイー・マードープル
भारतीयविज्ञानसंस्था (IISc)	インド理科大学院
पर्यावरणशिक्षा	環境教育
तुङ्गभद्रा	トゥンガバドラー川
राहुः	ラーフ
तुलसी	カミメボウキ
मुण्डकोपनिषत्	ムンダカ・ウパニシャッド
वातामक्षीरम्	アーモンドミルク
प्रश्नोपनिषत्	プラシュナ・ウパニシャッド
एम् एस् स्वामिनाथन्	モンコンブ・スワミナサン
युधिष्ठिरः	ユディシュティラ
रीवा	リーワー
टोङ्क, भारतम्	トーンク
गाझिपुरम्	ガーズィープル
ईशावास्योपनिषत्	イーシャー・ウパニシャッド
जौनपुरम्, उत्तरप्रदेशः	ジャウンプル
ताळीकोटे	ターリコータ
उदरम्	胃
अविद्या (योगदर्शनम्)	無明
द्रौपदी	ドラウパディー
समुद्रीय-प्रदूषणम्	海洋汚染
चार्ल्स् एल्टन्	チャールズ・エルトン
पुट्टपर्ती	プッタパルティ
समाधिपादः	ヨーガ・スートラ
छतरपुरम्	チャタルプル
धर्मशास्त्रम्	ダルマ・シャーストラ
पादकन्दुकक्रीडा	フットボール
क्लव्डी ईदर्ली	クロード・イーザリー
ऐतरेयोपनिषत्	アイタレーヤ・ウパニシャッド
माण्डूक्योपनिषत्	マーンドゥーキヤ・ウパニシャッド
केनोपनिषत्	ケーナ・ウパニシャッド
कठोपनिषत्	カタ・ウパニシャッド
प्राचीनवास्तुविद्या	ヴァーストゥ・シャーストラ
नक्षत्रम्	ナクシャトラ
अयस्कान्तचिकित्सा	磁気治療器
पोतकी	ツルムラサキ
समुद्रगुप्तः	サムドラグプタ
गणराज्योत्सवः	共和国記念日 (インド)
सर्पगन्धः	インドジャボク
जवाहरलालनेहरु विश्वविद्यालय	ジャワハルラール・ネルー大学
गोल्कोण्डदुर्गम्	ゴールコンダ王国
शैलेन्द्रराजवंशः	シャイレーンドラ朝
खरोष्ठी	カローシュティー文字
दीक्षाभूमिः	ディークシャーブーミ
दण्डी	ダンディン
दीग	ディーグ
भारतीयसेनोत्सवः	軍隊記念日
माण्डिनो डि लूज्जि	モンディーノ・デ・ルッツィ
सि एन् आर् राव	チンターマニー・ラーオ
मीनराशिः	双魚宮
द्राविडमुन्नेत्रकळगम्(डि.एम्.के)	ドラーヴィダ進歩党
दाहोद	ダーホード
अलाबु	ヒョウタン
प्राचीनगणितम्	インドの数学
राष्ट्रियस्वयंसेवकसङ्घः	民族義勇団
रामकृष्ण मिशन्	ラーマクリシュナ・ミッション
त्रिपिटकम् (बौद्धदर्शनम्)	三蔵
राजमाषशाकम्	ジュウロクササゲ
जटायुः	ジャターユ
ब्राह्मी	オトメアゼナ
भारतस्य राजनैतिकपक्षाः	インドの政党
जगन्नाथः	ジャガンナート
चालुक्यवंशः	前期チャールキヤ朝
मञ्जुल भार्गव	マンジュル・バルガヴァ
वर्गः:जर्मनीदेशः	Category:ドイツ
वर्गः:रशियादेशः	Category:ロシア
वर्गः:चीनादेशः	Category:中国
वर्गः:भारतम्	Category:インド
याज्ञवल्क्यः	ヤージュニャヴァルキヤ
क्षत्रियः	クシャトリヤ
वर्गः:इण्डोनेशियादेशः	Category:インドネシア
वर्गः:पाकिस्तानम्	Category:パキスタン
वर्गः:विश्वपरम्परास्थानानि	Category:世界遺産
जलसंरक्षणम्	節水
विसर्गः	ヴィサルガ
रामपुरम्, उत्तरप्रदेशः	ラームプル
गौतमः	ガウタマ (リシ)
जनकः	ジャナカ
शाकरसः	野菜ジュース
वैशाली	毘舎離
कटुः	辛味
युनानिचिकित्सा	ユナニ医学
शबरीमलै	サバリマラ寺院
समाजवादीपक्षः	サマジワディ党
महामरीचिका	ピーマン
यष्टिकन्दुकक्रीडा	ホッケー
राजमहेन्द्री-नगरम्	ラージャムンドリー
हैदराबाद्, पाकिस्तानम्	ハイデラバード (パキスタン)
युगम्	ユガ
कौरवाः	カウラヴァ
सुषमा स्वराज	スシュマ・スワラージ
जोन लोगी बेर्ड	ジョン・ベアード
खुशवन्त सिंह	クシュワント・シン
रामानुजाचार्यः	ラーマーヌジャ
हिन्दुस्तानीशास्त्रीयसङ्गीतम्	ヒンドゥスターニー音楽
कोवलम्	コバラム
कृष्ण बलदेव वैद	クリシュナ・バルデーオ・ヴァイド
मन्दसौर	マンドサウル
२०१३	訃報 2013年
ओणम्	オナム
शन्तनुः	シャーンタヌ
घटोत्कचः	ガトートカチャ
नकुलः	ナクラ
भरतः(रामायणम्)	バラタ
वर्गः:हिन्दुधर्मः	Category:ヒンドゥー教
विचित्रवीर्यः	ヴィチトラヴィーリヤ
कुम्भकर्णः	クンバカルナ
सुग्रीवः	スグリーヴァ
गुप्तलिपिः	グプタ文字
ओडिशी	オリッシー
चक्रासन्दक्रीडा	車いす陸上競技
याज्ञवल्‍क्‍यस्मृतिः	ヤージュニャヴァルキヤ法典
अश्वत्थामा	アシュヴァッターマン
सहदेवः	サハデーヴァ
कृपः	クリパ
रघुवंशम्	ラグ・ヴァンシャ
कौसल्या	カウサリヤー
कैकेयी	カイケーイー
मार्कण्डेयपुराणम्	マールカンデーヤ・プラーナ
मङ्गलयानम्	マーズ・オービター・ミッション
तिरुक्कुरळ्	ティルックラル
धनूराशिः	人馬宮
गोधूमपिष्टम्	小麦粉
संस्कृतस्य प्रयोजनम्	インプ (悪魔)
तेलुगुदेशम्-पक्षः	テルグ・デサム党
बुद्धचरितम्	ブッダチャリタ
नागौर	ナーガウル
अद्वैतवेदान्तः	不二一元論
भगिनी निवेदिता	シスター・ニヴェーディター
सम्पातिः	サムパーティ
आश्रमव्यवस्था	アーシュラマ
भगीरथः	バギーラタ
तामाङ भाषा	タマン語
तमिळ्नाडुराज्यस्य मण्डलानि	タミル・ナードゥ州の県
श्वेताश्वतरोपनिषत्	シュヴェーターシュヴァタラ・ウパニシャッド
सौबल	美容体操
श्रावस्ती	舎衛城
ग्वालियर् दुर्गम्	グワーリヤル城
भानुभक्त आचार्य	バヌバクタ・アーチャーリャ
वेदान्तः	ヴェーダーンタ学派
सुरेन्द्रनगरम्	スレーンドラナガル
विक्रमोर्वशीयम्	ヴィクラモールヴァシーヤ
गुरु रामानन्द	ラーマーナンダ
विकिपीडिया:वैज्ञानिक-शब्दावलिः/F	量 (仏教)
किरण बेदी	キラン・ベディ
अलवर	アルワル
महाराणा प्रताप	プラタープ・シング (メーワール王)
चरकसंहिता	チャラカ・サンヒター
रामप्रसाद बिस्मिल	ラム プラサド ビスミル
जाती	ナツメグ
कोचबिहारमण्डलम्	クーチ・ビハール県
तिलः	ゴマ
विश्वामित्रः	ヴィシュヴァーミトラ
वर्गः:महाद्वीपः	Category:大陸
निष्पावप्रभेदः	サヤインゲン
भारतीयराष्ट्रियविधिविश्वविद्यालयः	インド国立法科大学
भारतीयसाङ्ख्यिकी संस्था	インド統計大学
भारतपाकिस्थानयुद्धम्	印パ戦争
गुण्टूरुमण्डलम्	グントゥール
महाराष्ट्रनवनिर्माणसेना	マハラシュトラ・ナヴニルマン・セーナー
राष्ट्रियजनतादलम्	全国ジャナタ・ダル
फलकम्:Solar System	Template:太陽系
विकिपीडिया:लेखशीर्षकः	Wikipedia:記事名の付け方
मोहम्मद् अमीर्	モハンマド・アミール
स्वामी ब्रह्मानन्दः	ブラマーナンダ
प्रसिद्धभारतीयानाम् आवली	分野・時代別のインド人の一覧
सगर	サガラ
प्यालेस् आन् व्हील्स्	パレス・オン・ホイールズ
भारतस्य वित्तकोषाः	インドの銀行の一覧
शारदा देवी	サーラダー・デーヴィー
विक्रमादित्यः (नौयानम्)	ヴィクラマーディティヤ (空母)
पी टी उषा	P・T・ウシャ
विभीषणः	ヴィビーシャナ
बिलियर्ड्स्-क्रीडा	ビリヤード
दशकुमारचरितम्	ダシャクマーラチャリタ
मैक्रोनीशिया	ミクロネシア
कैलाश सत्यार्थी	カイラシュ・サティーアーティ
शत्रुघ्नः	シャトルグナ
भीष्म साहनी	ビーシュム・サーヘニー
बिजापुरम्	ビジャープル
भीमः	ビーマ
स्वर्णरथः (गोल्डन् चारियट्)	ゴールデン・チャリオット
बीदरदुर्गम्	ビーダル城
Chanakya	災害
मयूरः	クジャク属
वर्गः:देश	Category:国
विकिपीडिया:प्रबंधक	Wikipedia:管理者
विकिपीडियासम्भाषणम्:प्रबन्धकः	Wikipedia:管理者への立候補
वर्गः:AutoWikiBrowser	Wikipedia:AutoWikiBrowser
ईजिप्तदेशः	エジプト
रवीन्द्रप्रभात:	ラビンドラ プラブハット
फलकम्:Bot	Template:Bot
केनडा	カナダ
डेक्कन् ओडिस्सी	デカン・オデッセイ・トレイン
वर्गः:निर्वाचित लेख	Category:秀逸な記事
दाक्षक	体操競技選手一覧
वाली	ヴァーリン
वर्गः:युरोपखण्डः	Category:ヨーロッパ
फलकम्:Documentation	Template:Documentation
वर्गः:Delete	Category:削除関連
विकिपीडिया:स्तम्भपञ्चकम्	Wikipedia:五本の柱
विकिपीडिया:उल्लेख्यता	Wikipedia:独立記事作成の目安
विकिपीडिया:प्रयोक्तृ-पेटिकाः	Wikipedia:ユーザーボックス
सङ जेगी	成在基
बुधगुप्तः	ブダグプタ
फलकम्:Softredirect	Template:Softredirect
फलकम्:अपाक्रियताम्	Template:即時削除
वर्गः:विकिपीडिया	Category:ウィキペディア
विकिपीडिया:General disclaimer	Wikipedia:免責事項
विकिपीडिया:शैलीपुस्तकम्	Wikipedia:スタイルマニュアル
फलकम्:Navbox	Template:Navbox
गहनचिकित्साविभागः	集中治療室
विकिपीडिया:प्रमुखं चित्रम्	Wikipedia:秀逸な画像
फलकम्:Citation needed	Template:要出典
बुद्धपूर्णिमा	灌仏会
फलकम्:Error	Template:Error
फलकम्:!	Template:!
फलकम्:Tnavbar	Template:Tnavbar
फलकम्:Code	Template:Code
फलकम्:Sc	Template:Smallcaps
फलकम्:Clear	Template:Clear
फलकम्:Col-break	Template:Col-break
फलकम्:Col-begin	Template:Col-begin
फलकम्:Col-end	Template:Col-end
फलकम्:Nowrap	Template:Nowrap
विकिपीडिया:प्रारम्भिक-विषयाः	Wikipedia:すべての言語版にあるべき項目の一覧
फलकम्:Wikisource	Template:Wikisource
फलकम्:Babel	Template:Babel
फलकम्:Commons	Template:Commons
फलकम्:Link GA	Template:Link GA
फलकम्:Reflist	Template:Reflist
फलकम्:अपूर्णलेखः	Template:Stub
फलकम्:User az	Template:User az
फलकम्:See also	Template:See also
फलकम्:User da	Template:User da
फलकम्:User de	Template:User de
फलकम्:User de-1	Template:User de-1
फलकम्:User eu	Template:User eu
फलकम्:User el	Template:User el
फलकम्:User es	Template:User es
फलकम्:User en-3	Template:User en-3
फलकम्:User en-1	Template:User en-1
फलकम्:User en-2	Template:User en-2
फलकम्:User en-4	Template:User en-4
फलकम्:User fi	Template:User fi
फलकम्:User en	Template:User en
फलकम्:User fr-1	Template:User fr-1
फलकम्:User hi-1	Template:User hi-1
फलकम्:User hr	Template:User hr
फलकम्:User hu	Template:User hu
फलकम्:User ja	Template:User ja
फलकम्:User fr	Template:User fr
फलकम्:Intricate template	Template:複雑なテンプレート
फलकम्:Mod	Template:Mod
फलकम्:NowCommons	Template:NowCommons
फलकम्:Infobox language/codelist	Template:Infobox Language/codelist
फलकम्:User it	Template:User it
फलकम्:User uk	Template:User uk
फलकम्:Infobox football club	Template:サッカークラブ
फलकम्:स्वागतम्	Template:Welcome
फलकम्:भ्रातृपरियोजनाः	Template:WikipediaSister
फलकम्:Country data Belgium	Template:Country data Belgium
फलकम्:Navy/core	Template:Country flagnavy
फलकम्:Country data Czech Republic	Template:Country data Czech Republic
फलकम्:राष्ट्रतथ्यानि थाइलैंड	Template:Country data Thailand
फलकम्:Country data Indonesia	Template:Country data Indonesia
फलकम्:Country data British Empire	Template:Country data British Empire
फलकम्:Country data ROC	Template:Country data Republic of China
फलकम्:Edit	Template:Edit
फलकम्:आङ्ग्लमासाः	Template:1年の月と日
फलकम्:Country data South African Republic	Template:Country data Transvaal
फलकम्:Country data Denmark	Template:Country data Denmark
फलकम्:राष्ट्रतथ्यानि पोलैंड	Template:Country data Poland
फलकम्:क्ळिक्	Template:Click
फलकम्:Cc-by-sa-3.0	Template:Cc-by-sa-3.0
फलकम्:Wikivar	Template:Wikivar2
फलकम्:राष्ट्रतथ्यानि नार्वे	Template:Country data Norway
फलकम्:Country data RSA	Template:Country data South Africa
फलकम्:Country showdata	Template:Country showdata
फलकम्:Official	Template:Official
फलकम्:Country data Sri Lanka	Template:Country data Sri Lanka
फलकम्:Category other	Template:Category other
फलकम्:Air force	Template:Air force
फलकम्:अफ्रीकाखण्डः	Template:アフリカ
फलकम्:Infobox writer	Template:Infobox 作家
फलकम्:Country data United Arab Emirates	Template:Country data United Arab Emirates
फलकम्:Geographic Location	Template:Geographic Location
फलकम्:Infobox musical artist	Template:Infobox Musician
फलकम्:Country data AUS	Template:Country data Australia
फलकम्:Infobox football biography	Template:サッカー選手
फलकम्:Wait	Template:Inuse
फलकम्:Dubious	Template:疑問点
फलकम्:Infobox magazine	Template:基礎情報 雑誌
फलकम्:Fossil range/bar	Template:Fossil range/bar
फलकम्:Infobox chess biography	Template:Infobox Chess player
फलकम्:Fontcolor	Template:Font color
फलकम्:देश	Template:基礎情報 国
फलकम्:Infobox software	Template:Infobox Software
फलकम्:Infobox Airline	Template:航空会社情報ボックス
फलकम्:Wide image	Template:Wide image
फलकम्:Country data Austria	Template:Country data Austria
फलकम्:Infobox military conflict	Template:Infobox Military Conflict
फलकम्:Str left	Template:Str left
फलकम्:Country data Nepal	Template:Country data Nepal
फलकम्:Country data Finland	Template:Country data Finland
फलकम्:Audio	Template:Audio
फलकम्:Country data Egypt	Template:Country data Egypt
फलकम्:Country data Lithuania	Template:Country data Lithuania
फलकम्:Infobox Indian political party	Template:政党
फलकम्:Country data Japan	Template:Country data Japan
फलकम्:S-start	Template:S-start
फलकम्:Age in years and days	Template:Age in years and days
फलकम्:Nom	Template:Nom
फलकम्:Facebook	Template:Facebook
फलकम्:Cleanup	Template:Cleanup
फलकम्:Infobox scientist	Template:Infobox Scientist
फलकम्:Country data Czechoslovakia	Template:Country data Czechoslovakia
फलकम्:Country data Vietnam	Template:Country data Vietnam
फलकम्:S-aft	Template:S-aft
फलकम्:Featured article	Template:Featured article
फलकम्:Country data Russia	Template:Country data Russia
फलकम्:Infobox monarch	Template:基礎情報 君主
फलकम्:Box-Header	Portal:Box-header
फलकम्:Infobox award	Template:Infobox Award
वर्गः:User en-2	Category:User en-2
फलकम्:Infobox	Template:Infobox
फलकम्:Navy	Template:Navy
फलकम्:User zh	Template:User zh
फलकम्:Sp	Template:Sp
फलकम्:Documentation/start box	Template:Documentation/start box
फलकम्:Documentation/end box2	Template:Documentation/end box2
फलकम्:Documentation/start box2	Template:Documentation/start box2
फलकम्:Template other	Template:Template other
फलकम्:Cite web	Template:Cite web
वर्गः:जीवचरितम्	Category:伝記
फलकम्:Imdb title	Template:IMDb title
फलकम्:Cc-by-2.5	Template:Cc-by-2.5
फलकम्:Country data	Template:Country data
फलकम्:Won	Template:Won
फलकम्:Coor URL	Template:座標URL
फलकम्:Notice	Template:Notice
फलकम्:Pp-template	Template:Pp-template
फलकम्:विकिकोशः	Template:Wiktionary
फलकम्:Infobox music festival	Template:Infobox music festival
फलकम्:Infobox settlement	Template:Infobox Settlement
शतवेधी	オガルカヤ属
फलकम्:User ru	Template:User ru
फलकम्:IPA	Template:IPA2
फलकम्:GFDL	Template:GFDL-no-disclaimers
फलकम्:Country data Soviet Union	Template:Country data Soviet Union
फलकम्:राष्ट्रतथ्यानि भारतम्	Template:Country data India
फलकम्:Category redirect	Template:Category redirect
फलकम्:Infobox Officeholder	Template:Infobox Officeholder
फलकम्:Sisterlinks	Template:Sisterlinks
फलकम्:Infobox protected area	Template:Infobox Protected area
फलकम्:Cc-by-sa-2.5	Template:Cc-by-sa-2.5
फलकम्:Border	Template:Border
फलकम्:Death date and age	Template:死亡年月日と没年齢
फलकम्:MONTHNUMBER	Template:MONTHNUMBER
फलकम्:Topicon	Template:Top icon
फलकम्:Icon	Template:CI
वर्गः:राष्ट्रतथ्यानि फलकानि	Category:Country dataテンプレート
फलकम्:Country data China	Template:Country data China
फलकम्:Country data Cyprus	Template:Country data Cyprus
फलकम्:Infobox GrandSlamTournaments	Template:テニスグランドスラム
फलकम्:Army	Template:Army
फलकम्:Country data Malaysia	Template:Country data Malaysia
फलकम्:Country data Taiwan	Template:Country data Taiwan
फलकम्:Infobox book	Template:基礎情報 書籍
फलकम्:ICD10	Template:ICD10
फलकम्:Infobox विकिपीडिया	Template:Infobox Website
फलकम्:Coor title dms	Template:Coor title dms
फलकम्:Infobox Indian jurisdiction	Template:Infobox Indian Jurisdiction
फलकम्:Navboxes	Template:Navboxes
फलकम्:Infobox anatomy	Template:Infobox 解剖学
फलकम्:प्रलेखनस्य उपपृष्ठम्	Template:Documentation subpage
फलकम्:Infobox Galaxy	Template:Infobox Galaxy
फलकम्:Infobox number	Template:整数
फलकम्:भारतस्य राज्यानि केन्द्रशासितप्रदेशाः च	Template:インドの地方行政区画
फलकम्:Ref label	Template:Ref label
फलकम्:Cc-by-2.0	Template:Cc-by-2.0
फलकम्:Infobox medal templates	Template:Infobox medal templates
फलकम्:Infobox विश्वपरम्परास्थानानि	Template:世界遺産概要表
वर्गः:चित्रकला	Category:絵画
फलकम्:Infobox astronaut	Template:Infobox Astronaut
फलकम्:Str len	Template:Str len
फलकम्:Infobox sport	Template:スポーツ
फलकम्:MedalSport	Template:MedalSport
फलकम्:Empty category	Template:Empty category
फलकम्:Country data Austria-Hungary	Template:Country data Austria-Hungary
फलकम्:Infobox sportsperson	Template:Infobox sportsperson
फलकम्:Infobox building	Template:Infobox building
फलकम्:प्रबोधनं-प्रयोगे-१	Template:Test-n
फलकम्:Myspace	Template:MySpace
फलकम्:Infobox artist	Template:Infobox 芸術家
फलकम्:Country flag2	Template:Flag2
फलकम्:Note label	Template:Note label
फलकम्:Infobox ship begin	Template:Infobox Ship Begin
फलकम्:Infobox album	Template:Infobox Album
रायल् ओरियण्ट् रैल्	ロイヤル・オリエント・トレイン
फलकम्:Emergency-bot-shutoff	Template:Emergency-bot-shutoff
फलकम्:Infobox Swiss town	Template:Infobox Swiss town
फलकम्:IMDb name	Template:IMDb name
वर्गः:बाङ्गलासाहित्यम्	Category:ベンガル語文学
फलकम्:Di-no source no license	Template:PD-because
फलकम्:Cc-by	Template:Cc-by
फलकम्:S-ttl	Template:S-ttl
फलकम्:Infobox former country	Template:基礎情報 過去の国
फलकम्:End date	Template:End date
फलकम्:Designation	Template:Designation
फलकम्:Infobox tennis biography	Template:テニス選手
फलकम्:Age in days	Template:Age in days
फलकम्:S-bef	Template:S-bef
फलकम्:Cc-by-sa-2.0	Template:Cc-by-sa-2.0
वर्गः:भारतस्य राष्ट्रपतयः	Category:インドの大統領
फलकम्:Infobox waterfall	Template:Infobox 滝
फलकम्:Infobox Continent	Template:Infobox Continent
विकिपीडिया:Help for non-Sanskrit speakers	Wikipedia:Help for Non-Japanese Speakers
फलकम्:Gregorian serial date	Template:Gregorian serial date
उपनिषदः	ウパニシャッド
फलकम्:Multicol-break	Template:Multicol-break
फलकम्:PDFlink	Template:PDFlink
फलकम्:Infobox game	Template:Infobox game
फलकम्:राष्ट्रतथ्यानि ब्रिटिश राज	Template:Country data British Raj
फलकम्:Disambiguation	Template:Aimai
फलकम्:Country data Nazi Germany	Template:Country data Nazi Germany
फलकम्:Partial	Template:Partial
फलकम्:Plain link	Template:Plainlink
फलकम्:Infobox film	Template:Infobox Film
फलकम्:Geobox	Template:Geobox
फलकम्:Ifsubst	Template:Ifsubst
फलकम्:Sec link image	Template:Sec link image
फलकम्:Lower	Template:Lower
फलकम्:Voidd	Template:Voidd
फलकम्:User Sandbox	Template:User sandbox
फलकम्:भाषा-पुर्तगाली	Template:Lang-pt
फलकम्:Infobox philosopher	Template:Infobox 哲学者
फलकम्:Metacaixa	Template:Metacaixa
फलकम्:Infobox organization	Template:Infobox 組織
फलकम्:Infobox U.S. state	Template:基礎情報 アメリカ合衆国の州
फलकम्:GFDL-with-disclaimers	Template:GFDL
फलकम्:Fix	Template:Fix
वर्गः:वास्तुशास्त्रम्	Category:建築
फलकम्:EMedicine2	Template:EMedicine2
फलकम्:Tn	Template:Tn
फलकम्:Infobox military installation	Template:Infobox Military Structure
फलकम्:Flagicon image	Template:Flagicon image
फलकम्:Pending	Template:Pending
फलकम्:व्यक्तिः	Template:Infobox 人物
फलकम्:?	Template:?
फलकम्:Nts	Template:Nts
फलकम्:Country data South Korea	Template:Country data South Korea
वर्गः:केरलराज्यम्	Category:ケーララ
फलकम्:Coord	Template:Coord
फलकम्:Dmoz	Template:Dmoz
सहाय्यम्:Setup For Devanagari सम्पादन	Help:特殊文字
फलकम्:Infobox games	Template:Infobox World Championships in Athletics
वर्गः:User sa	Category:User sa
वर्गः:User sa-3	Category:User sa-3
वर्गः:User sa-2	Category:User sa-2
वर्गः:लिपयः	Category:文字
फलकम्:Beta	Template:Beta
वर्गः:User en-3	Category:User en-3
वर्गः:User en-N	Category:User en-N
फलकम्:Beijing	Template:北京市の行政区画
फलकम्:राष्ट्रतथ्यानि जर्मनी	Template:Country data Germany
फलकम्:Country data the United Kingdom	Template:Country data United Kingdom
फलकम्:Legend0	Template:Legend0
फलकम्:Infobox disease	Template:Infobox Disease
फलकम्:Cite encyclopedia	Template:Cite encyclopedia
फलकम्:Weather box	Template:Weather box
फलकम्:Nastaliq	Template:Script/Nastaliq
वर्गः:User kn	Category:User kn
वर्गः:User kn-1	Category:User kn-1
वर्गः:User kn-2	Category:User kn-2
वर्गः:User kn-3	Category:User kn-3
वर्गः:User kn-N	Category:User kn-N
फलकम्:Infobox currency	Template:Infobox Currency
फलकम्:·w	Template:·wrap
वर्गः:क्रिकेट्-क्रीडालवः	Category:クリケット
व्यजनम्	扇風機
फलकम्:राष्ट्रतथ्यानि ब्रासील	Template:Country data Brazil
फलकम्:Yes-No	Template:Yes-No
फलकम्:Dagger	Template:Dagger
फलकम्:Lang-ne	Template:Lang-ne
फलकम्:Country data United Kingdom of Great Britain and Ireland	Template:Country data United Kingdom of Great Britain and Ireland
वर्गः:Files licensed under CC-BY-SA 3.0	Category:クリエイティブ・コモンズ 表示 - 継承 3.0の画像
फलकम्:Earth science	Template:地球科学
फलकम्:Zh icon	Template:Zh icon
फलकम्:Infobox Government agency	Template:Infobox Government Agency
फलकम्:En	Template:En icon
फलकम्:Nbsp	Template:Spaces
फलकम्:Country data Russian SFSR	Template:Country data Russian SFSR
फलकम्:Infobox river	Template:Infobox 河川
फलकम्:AllRovi title	Template:Amg movie
फलकम्:Copyright by Wikimedia	Template:Copyright by Wikimedia
फलकम्:Bar percent	Template:Bar percent
फलकम्:Str find	Template:Str find
फलकम्:Nld	Template:Nld
फलकम्:CURRENTISOYEAR	Template:CURRENTISOYEAR
फलकम्:Fr	Template:Fr icon
फलकम्:Twitter	Template:Twitter
फलकम्:Country geography	Template:Country geography
फलकम्:Convert/-/AonSoff	Template:Convert/-/AoffSoff
फलकम्:Convert/±/AoffSoff	Template:Convert/±/AoffSoff
फलकम्:Convert/±/AonSoff	Template:Convert/±/AonSoff
वर्गः:कनेक्टिकट्	Category:コネチカット州
फलकम्:Weather box/cold	Template:Infobox Weather/cold
विकिपीडिया:Lua	Wikipedia:Lua
फलकम्:WPMILHIST Infobox style	Template:WPMILHIST Infobox style
फलकम्:White	Template:White
फलकम्:Fossil range/marker	Template:Fossil range/marker
फलकम्:ICD9	Template:ICD9
फलकम्:User information templates	Template:User information templates
फलकम्:Case preserving encode	Template:Case preserving encode
फलकम्:Check talk	Template:Check talk
फलकम्:Cite EB1911	Template:Cite EB1911
फलकम्:Infobox language/family-color	Template:Infobox Language/family-color
फलकम्:Wikisourcelang	Template:Wikisourcelang
वर्गः:नदी	Category:河川
फलकम्:Grey	Template:Grey
फलकम्:Lang-gu	Template:Lang-gu
फलकम्:User sa-1	Template:User sa-1
फलकम्:Unbulleted list	Template:Unbulleted list
वर्गः:भारतस्य प्रधानमन्त्रिणः	Category:インドの首相
फलकम्:Ndash	Template:Ndash
वर्गः:भारतस्य केन्द्रशासितप्रदेशाः	Category:インドの連邦直轄領
फलकम्:भारतीयपर्वाणि	Template:ヒンドゥー教の年中行事
वर्गः:नेपालदेशः	Category:ネパール
वर्गः:श्रीलङ्का	Category:スリランカ
वर्गः:Speedy deletion templates	Category:即時削除テンプレート
फलकम्:FeaturedPicture	Template:秀逸画像
वर्गः:रमोन् मैग्सेसे-पुरस्कारभाजः	Category:マグサイサイ賞受賞者
वर्गः:गोवाराज्यम्	Category:ゴア
वर्गः:कर्णाटकम्	Category:カルナータカ
वर्गः:छत्तिसगढराज्यम्	Category:チャッティースガル
वर्गः:गुजरातराज्यम्	Category:グジャラート
वर्गः:त्रिपुराराज्यम्	Category:トリプラ
वर्गः:पञ्जाबराज्यम्	Category:パンジャーブ (インド)
वर्गः:मध्यप्रदेशः	Category:マディヤ・プラデーシュ
वर्गः:राजस्थानराज्यम्	Category:ラージャスターン
वर्गः:हरियाणा	Category:ハリヤーナー
वर्गः:उत्तरप्रदेशराज्यम्	Category:ウッタル・プラデーシュ
वर्गः:मेघालयराज्यम्	Category:メーガーラヤ
वर्गः:ओड़िशा	Category:オリッサ
काल्काशिम्लाधूमशकटयानम्	カールカー＝シムラー鉄道
वर्गः:दक्षिण-अमेरिकादेशाः	Category:南アメリカの国
फलकम्:Lang-as	Template:Lang-as
फलकम्:Infobox cricketer	Template:Infobox cricketer biography
वर्गः:उत्तर-अमेरिकाखण्डः	Category:中央アメリカ
फलकम्:MedalCompetition	Template:MedalCompetition
वर्गः:भारतस्य नगराणि	Category:インドの都市
वर्गः:रामायणस्य पात्राणि	Category:ラーマーヤナの登場人物
फलकम्:Infobox language	Template:Infobox Language
वर्गः:जम्मू-काश्मीरराज्यम्	Category:ジャンムー・カシミール
